PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Hou, QD; Zhen, MN; Li, WZ; Liu, L; Liu, JP; Zhang, SQ; Nie, YF; Bai, CYL; Bai, XY; Ju, MT				Hou, Qidong; Zhen, Meinan; Li, Weizun; Liu, Le; Liu, Jinpeng; Zhang, Shiqiu; Nie, Yifan; Bai, Chuanyunlong; Bai, Xinyu; Ju, Meiting			Efficient catalytic conversion of glucose into 5-hydroxymethylfurfural by aluminum oxide in ionic liquid	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						1	10		10.1016/j.apcatb.2019.04.003								WOS:000469904500001						
J	Wang, Y; Zheng, M; Sun, H; Zhan, X; Luan, CL; Li, YR; Zhao, L; Zhao, HH; Dai, XP; Ye, JY; Wang, H; Sun, SG				Wang, Yao; Zheng, Meng; Sun, Hui; Zhan, Xin; Luan, Chenglong; Li, Yunrui; Zhao, Liang; Zhao, Huihui; Dai, Xiaoping; Ye, Jin-Yu; Wang, Hai; Sun, Shi-Gang			Catalytic Ru containing Pt3Mn nanocrystals enclosed with high-indexed facets: Surface alloyed Ru makes Pt more active than Ru particles for ethylene glycol oxidation	APPLIED CATALYSIS B-ENVIRONMENTAL																	Luan, Chenglong/0000-0002-7034-0102												0926-3373	1873-3883				SEP 15	2019	253						11	20		10.1016/j.apcatb.2019.04.022								WOS:000469904500002						
J	Men, YN; Li, P; Yang, FL; Cheng, GZ; Chen, SL; Luo, W				Men, Yana; Li, Peng; Yang, Fulin; Cheng, Gongzhen; Chen, Shengli; Luo, Wei			Nitrogen-doped CoP as robust electrocatalyst for high-efficiency pH universal hydrogen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																Cheng, Gongzhen/Q-1398-2018	Cheng, Gongzhen/0000-0002-3335-6412; Luo, Wei/0000-0002-7807-1373												0926-3373	1873-3883				SEP 15	2019	253						21	27		10.1016/j.apcatb.2019.04.038								WOS:000469904500003						
J	Xie, ZQ; Zhou, JL; Wang, JN; Francois-Xavier, CP; Wintgens, T				Xie, Zhiqun; Zhou, Jiali; Wang, Jinnan; Francois-Xavier, Corvini Philippe; Wintgens, Thomas			Novel Fenton-like catalyst gamma-Cu-Al2O3-Bi12O15Cl6 with electron-poor Cu centre and electron-rich Bi centre for enhancement of phenolic compounds degradation and H2O2 utilization: The synergistic effects of sigma-Cu-ligand, dual-reaction centres and oxygen vacancies	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						28	40		10.1016/j.apcatb.2019.04.032								WOS:000469904500004						
J	Zhao, ZJ; Wu, JJ; Zheng, YZ; Li, N; Li, XT; Ye, ZL; Lu, SY; Tao, X; Chen, CC				Zhao, Zhijie; Wu, Jiaojiao; Zheng, Yan-Zhen; Li, Nan; Li, Xitao; Ye, Zhili; Lu, Siyu; Tao, Xia; Chen, Chuncheng			Stable hybrid perovskite MAPb(I1-xBrx)(3) for photocatalytic hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																	lu, siyu/0000-0003-4538-7846												0926-3373	1873-3883				SEP 15	2019	253						41	48		10.1016/j.apcatb.2019.04.050								WOS:000469904500005						
J	Sultana, S; Vandenbroucke, AM; Mora, M; Jimenez-Sanchidrian, C; Romero-Salguero, FJ; Leys, C; De Geyter, N; Morent, R				Sultana, S.; Vandenbroucke, A. M.; Mora, M.; Jimenez-Sanchidrian, C.; Romero-Salguero, F. J.; Leys, C.; De Geyter, N.; Morent, R.			Post plasma-catalysis for trichloroethylene decomposition over CeO(2)catalyst: Synergistic effect and stability test	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						49	59		10.1016/j.apcatb.2019.03.077								WOS:000469904500006						
J	Kim, J; Choe, YJ; Kima, SH; Lee, SC; Bhattacharjee, S				Kim, Jongsik; Choe, Yun Jeong; Kima, Sang Hoon; Lee, Seung-Cheol; Bhattacharjee, Satadeep			Grasping periodic trend and rate-determining step for S-modified metals of metal sulfides deployable to produce (OH)-O-center dot via H2O2 cleavage	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						60	68		10.1016/j.apcatb.2019.04.016								WOS:000469904500007						
J	Camera-Roda, G; Loddo, V; Palmisano, L; Parrino, F				Camera-Roda, G.; Loddo, V.; Palmisano, L.; Parrino, F.			Photocatalytic ozonation for a sustainable aquaculture: A long-term test in a seawater aquarium	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						69	76		10.1016/j.apcatb.2019.04.048								WOS:000469904500008						
J	Hu, BB; Hu, MC; Guo, Q; Wang, K; Wang, XT				Hu, Bingbing; Hu, Maocong; Guo, Qiang; Wang, Kang; Wang, Xitao			In-vacancy engineered plate-like In(OH)(3) for effective photocatalytic reduction of CO2 with H2O vapor	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						77	87		10.1016/j.apcatb.2019.04.046								WOS:000469904500009						
J	Awad, G; Mohamed, EF				Awad, Gamal; Mohamed, Elham Farouk			Immobilization of P450 BM3 monooxygenase on hollow nanosphere composite: Application for degradation of organic gases pollutants under solar radiation lamp	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						88	95		10.1016/j.apcatb.2019.04.045								WOS:000469904500010						
